"Trialnumber","Trial_type","Response","Points_earned","choiceprob"
1,1,0,0,0.5
2,1,1,5,0.5
3,1,1,5,0.500656631573612
4,1,1,5,0.501306694607856
5,1,0,0,0.501950252667531
6,1,0,0,0.501950252667531
7,1,1,5,0.501950252667531
8,1,1,5,0.50258736878834
9,1,0,0,0.503218105478177
10,1,1,5,0.503218105478177
11,1,1,5,0.503842524718531
12,1,1,5,0.504460687966006
13,1,0,0,0.505072656153949
14,1,1,5,0.505072656153949
15,1,0,0,0.505678489694188
16,1,1,-495,0.505678489694188
17,1,1,5,0.489600364579121
18,1,1,5,0.490360702295075
19,1,1,5,0.491113480578694
20,1,0,0,0.491858770789224
21,1,1,5,0.491858770789224
22,1,0,0,0.492596643755714
23,1,0,0,0.492596643755714
24,1,0,0,0.492596643755714
25,1,1,5,0.492596643755714
26,1,0,0,0.493327169775804
27,1,0,0,0.493327169775804
28,1,1,5,0.493327169775804
29,1,0,0,0.494050418614745
30,1,0,0,0.494050418614745
31,1,0,0,0.494050418614745
32,1,0,0,0.494050418614745
33,1,0,0,0.494050418614745
34,1,0,0,0.494050418614745
35,1,0,0,0.494050418614745
36,1,1,5,0.494050418614745
37,1,0,0,0.494766459504615
38,1,0,0,0.494766459504615
39,1,1,5,0.494766459504615
40,1,1,5,0.495475361143756
41,1,1,-495,0.496177191696394
42,1,1,5,0.489695340014923
43,1,0,0,0.490454733678839
44,1,1,5,0.490454733678839
45,1,0,0,0.491206576814021
46,2,1,-5,0.5
47,2,1,-5,0.499343368426388
48,2,1,-5,0.499349934734687
49,2,0,0,0.499349869071603
50,2,0,0,0.499349869071603
51,2,1,-5,0.499349869071603
52,2,0,0,0.499349869728234
53,2,0,0,0.499349869728234
54,2,1,-5,0.499349869728234
55,2,0,0,0.499349869721668
56,2,0,0,0.499349869721668
57,2,0,0,0.499349869721668
58,2,1,-5,0.499349869721668
59,2,1,-5,0.499349869721733
60,2,0,0,0.499349869721733
61,2,0,0,0.499349869721733
62,2,1,-5,0.499349869721733
63,2,0,0,0.499349869721733
64,2,1,-5,0.499349869721733
65,2,0,0,0.499349869721733
66,2,1,-5,0.499349869721733
67,2,0,0,0.499349869721733
68,2,1,-5,0.499349869721733
69,2,0,0,0.499349869721733
70,2,1,-5,0.499349869721733
71,2,1,-5,0.499349869721733
72,2,1,495,0.499349869721733
73,2,1,-5,0.509699501809829
74,2,0,0,0.499246361431682
75,2,1,-5,0.499246361431682
76,2,0,0,0.49935090480493
77,2,1,-5,0.49935090480493
78,2,1,-5,0.499349859370901
79,2,0,0,0.499349869825241
80,2,0,0,0.499349869825241
81,2,1,-5,0.499349869825241
82,2,0,0,0.499349869720698
83,2,0,0,0.499349869720698
84,2,0,0,0.499349869720698
85,2,0,0,0.499349869720698
86,2,1,-5,0.499349869720698
87,2,1,-5,0.499349869721743
88,2,1,-5,0.499349869721733
89,2,1,-5,0.499349869721733
90,2,0,0,0.499349869721733
91,3,0,0,0.5
92,3,0,0,0.5
93,3,0,0,0.5
94,3,0,0,0.5
95,3,0,0,0.5
96,3,0,0,0.5
97,3,1,-10,0.5
98,3,0,0,0.499004733388109
99,3,0,0,0.499004733388109
100,3,1,-10,0.499004733388109
101,3,1,100,0.499014686028331
102,3,0,0,0.502986735361162
103,3,1,-10,0.502986735361162
104,3,0,0,0.498974865801173
105,3,0,0,0.498974865801173
106,3,0,0,0.498974865801173
107,3,1,100,0.498974865801173
108,3,0,0,0.502947314565106
109,3,1,100,0.502947314565106
110,3,1,100,0.506879673994557
111,3,1,100,0.510771873104065
112,3,1,100,0.514623865637487
113,3,1,100,0.518435629109763
114,3,1,100,0.52220716386017
115,3,1,-10,0.525938492118405
116,3,0,0,0.498745116723372
117,3,0,0,0.498745116723372
118,3,0,0,0.498745116723372
119,3,1,-10,0.498745116723372
120,3,1,100,0.499017282198126
121,3,0,0,0.502989305487424
122,3,0,0,0.502989305487424
123,3,0,0,0.502989305487424
124,3,1,100,0.502989305487424
125,3,0,0,0.5069212385547
126,3,1,100,0.5069212385547
127,3,0,0,0.510813010682308
128,3,1,100,0.510813010682308
129,3,0,0,0.514664575871681
130,3,0,0,0.514664575871681
131,3,0,0,0.514664575871681
132,3,0,0,0.514664575871681
133,3,1,100,0.514664575871681
134,3,1,-10,0.518475911885216
135,3,1,-10,0.498819890984797
136,4,0,0,0.5
137,4,0,0,0.5
138,4,1,10,0.5
139,4,0,0,0.500995266611891
140,4,1,-100,0.500995266611891
141,4,0,0,0.496027897903039
142,4,0,0,0.496027897903039
143,4,0,0,0.496027897903039
144,4,1,-100,0.496027897903039
145,4,0,0,0.496077569342968
146,4,0,0,0.496077569342968
147,4,0,0,0.496077569342968
148,4,1,10,0.496077569342968
149,4,1,-100,0.49711201402991
150,4,0,0,0.496066728336295
151,4,0,0,0.496066728336295
152,4,0,0,0.496066728336295
153,4,0,0,0.496066728336295
154,4,1,10,0.496066728336295
155,4,0,0,0.497101281130346
156,4,0,0,0.497101281130346
157,4,0,0,0.497101281130346
158,4,0,0,0.497101281130346
159,4,1,-100,0.497101281130346
160,4,0,0,0.496066835662243
161,4,1,10,0.496066835662243
162,4,1,10,0.497101387386039
163,4,1,-100,0.498125618071065
164,4,1,-100,0.496056592691396
165,4,0,0,0.496077282394766
166,4,1,10,0.496077282394766
167,4,0,0,0.497111729943184
168,4,1,10,0.497111729943184
169,4,0,0,0.498135857402425
170,4,0,0,0.498135857402425
171,4,0,0,0.498135857402425
172,4,1,-100,0.498135857402425
173,4,1,10,0.49605649030302
174,4,1,10,0.497091145190387
175,4,0,0,0.498115478098651
176,4,1,-100,0.498115478098651
177,4,1,-100,0.496056694086246
178,4,1,-100,0.496077281380817
179,4,0,0,0.496077075507805
180,4,0,0,0.496077075507805
